artifact_family,expected_role,local_status,remote_status,exact_local_path,exact_remote_path,data_object_present,report_present,registry_present,self_audit_present,content_matches_expected_role,pit_safe_supported,authoritative_foundation_status,notes
mlb_matchup_table_base,MLB historical research base object (team-side matchup features),PRESENT,PRESENT,research/recovery/mlb_matchup_table_base/,research/recovery/mlb_matchup_table_base/,YES (19804x107),YES,YES,YES,YES,YES (report PIT verdict clean),AUTHORITATIVE,Real current MLB research base. 2022-2026. 91 approved features + 9 identity + 7 carried-only. Built from 5 accepted substrates.
mlb_lineup_state_substrate,Team-game rolling offensive state (SC-derived batting windows),PRESENT,PRESENT,research/recovery/mlb_lineup_state_substrate/,research/recovery/mlb_lineup_state_substrate/,YES (19712x54),YES,YES,YES,YES,YES (acceptance memo),AUTHORITATIVE,44 rolling SC batting features over 4 windows. FG-style team codes. Shift(1) verified.
mlb_bullpen_substrate,Team-game bullpen fatigue/availability state,PRESENT,PRESENT,research/recovery/mlb_bullpen_substrate/,research/recovery/mlb_bullpen_substrate/,YES (19804x10),YES,YES,YES,YES,YES (acceptance memo; builder self-audit was false re: background tasks but substantive PIT verified independently),AUTHORITATIVE_WITH_CAVEATS,5 bullpen features. FG-style team codes. Accepted after independent forensic verification. Builder self-audit falsely claimed no background tasks — flagged in acceptance memo.
mlb_starter_profile_substrate,Pitcher-level rolling profile (3 windows),PRESENT,PRESENT,research/recovery/mlb_starter_profile_substrate/,research/recovery/mlb_starter_profile_substrate/,YES (19914x55),YES,YES,YES,YES,YES (acceptance memo),AUTHORITATIVE,SC-style team codes. 42 rolling pitching features. Available-only averaging caveat (window may cover fewer obs than label implies).
mlb_starting_pitcher_substrate,Per-start box-score + SC enrichment,PRESENT,PRESENT,research/recovery/mlb_starting_pitcher_substrate/,research/recovery/mlb_starting_pitcher_substrate/,YES (19914x46),YES,YES,YES,YES,YES (acceptance memo),AUTHORITATIVE,SC-style team codes. Per-start realized stats. SC enrichment partial (some starts lack Statcast data).
mlb_hitter_statcast_substrate,Per-batter-per-game Statcast quality,PRESENT,PRESENT,research/recovery/mlb_hitter_statcast_substrate/,research/recovery/mlb_hitter_statcast_substrate/,YES (197497x17),YES,YES,YES,YES,YES (acceptance memo),AUTHORITATIVE,SC-style team codes. Feeds lineup_state aggregation. 197k batter-game rows.
mlb_umpire_substrate,Game-level umpire assignment + ratings,PRESENT,PRESENT,research/recovery/mlb_umpire_substrate/,research/recovery/mlb_umpire_substrate/,YES (9902x8),YES,YES,YES,YES,YES,AUTHORITATIVE,Game-grain. One row per game. Umpire name + over_rate + k_rate.
mlb_umpire_historical_layer,Prior-season umpire rating averages,PRESENT,PRESENT,research/recovery/mlb_umpire_historical_layer/,research/recovery/mlb_umpire_historical_layer/,YES (453x10),YES,YES,YES,YES,YES,AUTHORITATIVE,Umpire-season grain. ~90 umpires x 5 seasons.
mlb_umpire_ratings_repair,2026 umpire rating fix (documentation only),PRESENT,PRESENT,research/recovery/mlb_umpire_ratings_repair/,research/recovery/mlb_umpire_ratings_repair/,NO (documentation only),YES,YES,YES,YES (repair docs),YES,AUTHORITATIVE_WITH_CAVEATS,No parquet — this is a repair documentation package only. The fix was applied to config.py directly.
mlb_weather_substrate,Game-level weather features,PRESENT,PRESENT,research/recovery/mlb_weather_substrate/,research/recovery/mlb_weather_substrate/,YES (9902x9),YES,YES,YES,YES,YES,AUTHORITATIVE,Game-grain. Temp + wind + roof. One row per game.
mlb_park_context_substrate,Game-level park context features,PRESENT,PRESENT,research/recovery/mlb_park_context_substrate/,research/recovery/mlb_park_context_substrate/,YES (9902x17),YES,YES,YES,YES,YES,AUTHORITATIVE,Game-grain. Park factors + dimensions + context. One row per game.
mlb_team_code_normalization,Cross-substrate team code mapping,PRESENT,PRESENT,research/recovery/mlb_team_code_normalization/,research/recovery/mlb_team_code_normalization/,YES (JSON map),YES,YES,YES,YES,YES,AUTHORITATIVE,Maps SC codes to canonical. 6 key mappings. Applied during matchup table build.
mlb_substrate_stack_acceptance,Master stack acceptance memo,PRESENT,PRESENT,research/recovery/mlb_substrate_stack/,research/recovery/mlb_substrate_stack/,N/A (memo only),YES (acceptance memo),NO,NO,YES,YES (forensic basis),AUTHORITATIVE,Acceptance of 5 substrates as non-pristine but usable. Frozen caveats documented.
game_table_spine,Game-level spine with actual totals,PRESENT,PRESENT,sim/data/game_table.parquet,sim/data/game_table.parquet,YES (9902x30),NO (production file),NO,NO,YES,YES (production object),AUTHORITATIVE,9902 games 2022-2026. Spine for matchup table. Contains actual_total outcome variable.
bullpen_features_production,Production bullpen features (sim/data),PRESENT,PRESENT,sim/data/bullpen_features.parquet,sim/data/bullpen_features.parquet,YES (19804x10),NO (production file),NO,NO,YES,YES (production object),AUTHORITATIVE,Production copy of bullpen features. Same shape as recovery substrate.
canonical_historical_object,Intended canonical historical matchup object,MISSING,MISSING,N/A,N/A,NO,NO,NO,NO,N/A,N/A,SUBSTITUTE_IN_USE,Does not exist. mlb_matchup_table_base is functional equivalent used everywhere.
orchestration_layer,Research routing/control system,MISSING,MISSING,N/A,N/A,NO,NO,NO,NO,N/A,N/A,MISSING,7 files never created. Governance layer is conceptual only.
approved_manifest,Approved objects manifest,MISSING,MISSING,N/A,N/A,NO,NO,NO,NO,N/A,N/A,MISSING,Never created. Stack acceptance memo is informal equivalent.
banned_manifest,Banned objects manifest,MISSING,MISSING,N/A,N/A,NO,NO,NO,NO,N/A,N/A,MISSING,Never created.
