artifact_family,package_path,family_role,pit_safe_verdict,signoff_support_level,source_evidence_used,exact_required_caveat,safe_for_engine_use,residual_pit_risk_level,notes
mlb_matchup_table_base,base_object/mlb_matchup_table_base.parquet,REAL_CURRENT_BASE_OBJECT,PIT_SAFE_APPROVED_WITH_CAVEAT,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,"Naming caveat: this object was previously referenced as canonical_historical_research_matchup_object. That name is resolved to mlb_matchup_table_base by this package. No PIT risk — naming only.",YES,LOW,Self-audit Q8 confirms no lookahead leakage. Q13 confirms no files modified / no background tasks / no commits. Registry matches actual shape. Substitute-in-use status is a naming issue not a PIT issue.
mlb_lineup_state_substrate,REF_ONLY (source),INPUT_SUBSTRATE,PIT_SAFE_APPROVED,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,NONE,YES,LOW,PIT support from Stack Acceptance Memo (shift(1) verified empirically) and base object self-audit Q8 (all rolling windows are lookback-only).
mlb_bullpen_substrate,REF_ONLY (source),INPUT_SUBSTRATE,PIT_SAFE_APPROVED_WITH_CAVEAT,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,"Process caveat: builder self-audit falsely claimed no background tasks. Background tasks WERE used. Substantive PIT-safety was independently verified by forensic audit. Data integrity confirmed but process attestation from builder is not trustworthy.",YES,MODERATE,Substantive PIT is confirmed (no future data in features) but process non-pristine. This is the highest-risk family in the package. Risk is contained because independent verification was performed.
mlb_starter_profile_substrate,REF_ONLY (source),INPUT_SUBSTRATE,PIT_SAFE_APPROVED_WITH_CAVEAT,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,"SC averaging caveat: rolling windows use available-only averaging. A last_3 window with 1 unenriched start produces a value from 2 observations indistinguishable from a fully observed window. This is a data-quality caveat not a PIT-safety caveat — no future data is used.",YES,LOW,All rolling windows are lookback-only (Stack Acceptance Memo + base object Q8). The averaging caveat affects data quality/precision not temporal integrity.
mlb_starting_pitcher_substrate,REF_ONLY (source),INPUT_SUBSTRATE,PIT_SAFE_APPROVED,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,NONE,YES,LOW,Per-start realized stats. Box-score data is post-game by definition. SC enrichment is same-game. No future data.
mlb_hitter_statcast_substrate,REF_ONLY (source),INPUT_SUBSTRATE,PIT_SAFE_APPROVED,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,NONE,YES,LOW,Per-batter-per-game SC quality. Same-game data. No future leakage. Feeds lineup_state aggregation which applies shift(1).
mlb_umpire_substrate,REF_ONLY (source),CONTEXT_SUBSTRATE,PIT_SAFE_APPROVED,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,NONE,YES,LOW,Game-level umpire assignment. Umpire identity and ratings are known pre-game. No future data.
mlb_umpire_historical_layer,REF_ONLY (source),CONTEXT_SUBSTRATE,PIT_SAFE_APPROVED,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,NONE,YES,LOW,Prior-season umpire ratings. By definition uses only completed prior seasons. No future data.
mlb_umpire_ratings_repair,REF_ONLY (source),REPAIR_DOCUMENTATION,PIT_SAFE_APPROVED_WITH_CAVEAT,SIGNOFF_WEAK,NO,"Documentation-only caveat: no standalone data artifact exists. Fix applied directly to config.py. Repair docs record what changed but cannot be independently verified from the package alone without inspecting config.py.",YES,LOW,PIT risk is low because the repair affected static umpire rating constants not rolling/temporal features. But signoff support is weak because there is no data artifact.
mlb_weather_substrate,REF_ONLY (source),CONTEXT_SUBSTRATE,PIT_SAFE_APPROVED,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,NONE,YES,LOW,Game-level weather. Observed conditions. No future data.
mlb_park_context_substrate,REF_ONLY (source),CONTEXT_SUBSTRATE,PIT_SAFE_APPROVED,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,NONE,YES,LOW,Game-level park context. Static park factors. No future data.
mlb_team_code_normalization,REF_ONLY (source),NORMALIZATION_MAP,PIT_SAFE_APPROVED,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,NONE,YES,LOW,Static mapping table. No temporal component. No PIT concern.
mlb_substrate_stack_acceptance,provenance/MLB_SUBSTRATE_STACK_ACCEPTANCE_MEMO.md,STACK_ACCEPTANCE_PROVENANCE,PIT_SAFE_APPROVED,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,NONE,YES,LOW,Documentation artifact. Records the forensic acceptance basis for the 5 substrates.
game_table_spine,REF_ONLY (source),SPINE_AND_OUTCOME,PIT_SAFE_APPROVED,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,NONE,YES,LOW,Game-level spine. actual_total is a post-game outcome used as the target variable. No future leakage — outcomes are observed results.
bullpen_features_production,REF_ONLY (source),PRODUCTION_COPY,PIT_SAFE_APPROVED_WITH_CAVEAT,SIGNOFF_SUPPORTED_BY_PACKAGE,NO,"Same caveat as mlb_bullpen_substrate: builder self-audit was false about background tasks. This is the production copy of that same substrate. Substantive PIT verified independently.",YES,MODERATE,Same underlying data as mlb_bullpen_substrate. Inherits its process caveat.
