artifact_family,source_path,package_path,foundation_role,authority_status,caveat_status,notes
mlb_matchup_table_base,research/recovery/mlb_matchup_table_base/mlb_matchup_table_base.parquet,base_object/mlb_matchup_table_base.parquet,REAL_CURRENT_BASE_OBJECT,AUTHORITATIVE,DOCUMENTED,Frozen copy in package. 19804x107. Substitute-in-use for intended canonical name.
mlb_matchup_table_base_report,research/recovery/mlb_matchup_table_base/MLB_MATCHUP_TABLE_BASE_REPORT.md,base_object/MLB_MATCHUP_TABLE_BASE_REPORT.md,BASE_OBJECT_PROVENANCE,AUTHORITATIVE,NONE,Build report for base object.
mlb_matchup_table_base_registry,research/recovery/mlb_matchup_table_base/MLB_MATCHUP_TABLE_BASE_REGISTRY.json,base_object/MLB_MATCHUP_TABLE_BASE_REGISTRY.json,BASE_OBJECT_PROVENANCE,AUTHORITATIVE,NONE,Field categories and join metadata.
mlb_matchup_table_base_self_audit,research/recovery/mlb_matchup_table_base/MLB_MATCHUP_TABLE_BASE_SELF_AUDIT.md,base_object/MLB_MATCHUP_TABLE_BASE_SELF_AUDIT.md,BASE_OBJECT_PROVENANCE,AUTHORITATIVE,NONE,14-question PIT-safe self-audit.
mlb_lineup_state_substrate,research/recovery/mlb_lineup_state_substrate/team_game_lineup_state.parquet,REF_ONLY (not copied),INPUT_SUBSTRATE,AUTHORITATIVE,NONE,19712x54. Team-game rolling offensive state. FG-style codes.
mlb_bullpen_substrate,research/recovery/mlb_bullpen_substrate/bullpen_features_repaired.parquet,REF_ONLY (not copied),INPUT_SUBSTRATE,AUTHORITATIVE_WITH_CAVEATS,DOCUMENTED,19804x10. Builder self-audit false re: background tasks. Substantive PIT verified independently.
mlb_starter_profile_substrate,research/recovery/mlb_starter_profile_substrate/rolling_starter_profile.parquet,REF_ONLY (not copied),INPUT_SUBSTRATE,AUTHORITATIVE,DOCUMENTED,19914x55. SC-style codes. Available-only averaging caveat.
mlb_starting_pitcher_substrate,research/recovery/mlb_starting_pitcher_substrate/per_start_starter_substrate.parquet,REF_ONLY (not copied),INPUT_SUBSTRATE,AUTHORITATIVE,NONE,19914x46. Per-start box-score + SC enrichment.
mlb_hitter_statcast_substrate,research/recovery/mlb_hitter_statcast_substrate/batter_game_statcast.parquet,REF_ONLY (not copied),INPUT_SUBSTRATE,AUTHORITATIVE,NONE,197497x17. Per-batter-per-game SC quality. Feeds lineup_state.
mlb_umpire_substrate,research/recovery/mlb_umpire_substrate/mlb_umpire_substrate.parquet,REF_ONLY (not copied),CONTEXT_SUBSTRATE,AUTHORITATIVE,NONE,9902x8. Game-level umpire assignment + ratings.
mlb_umpire_historical_layer,research/recovery/mlb_umpire_historical_layer/mlb_umpire_prior_season_ratings.parquet,REF_ONLY (not copied),CONTEXT_SUBSTRATE,AUTHORITATIVE,NONE,453x10. Prior-season umpire rating averages.
mlb_umpire_ratings_repair,research/recovery/mlb_umpire_ratings_repair/,REF_ONLY (not copied),REPAIR_DOCUMENTATION,AUTHORITATIVE_WITH_CAVEATS,DOCUMENTED,Docs only — no parquet. Fix applied to config.py directly.
mlb_weather_substrate,research/recovery/mlb_weather_substrate/mlb_weather_substrate.parquet,REF_ONLY (not copied),CONTEXT_SUBSTRATE,AUTHORITATIVE,NONE,9902x9. Game-level weather.
mlb_park_context_substrate,research/recovery/mlb_park_context_substrate/mlb_park_context_substrate.parquet,REF_ONLY (not copied),CONTEXT_SUBSTRATE,AUTHORITATIVE,NONE,9902x17. Game-level park context.
mlb_team_code_normalization,research/recovery/mlb_team_code_normalization/mlb_team_code_normalization_map.json,REF_ONLY (not copied),NORMALIZATION_MAP,AUTHORITATIVE,NONE,SC-to-canonical team code mapping. Applied during matchup table build.
mlb_substrate_stack_acceptance,research/recovery/mlb_substrate_stack/MLB_SUBSTRATE_STACK_ACCEPTANCE_MEMO.md,provenance/MLB_SUBSTRATE_STACK_ACCEPTANCE_MEMO.md,STACK_ACCEPTANCE_PROVENANCE,AUTHORITATIVE,NONE,Frozen copy in package. Master acceptance of 5 substrates.
game_table_spine,sim/data/game_table.parquet,REF_ONLY (not copied),SPINE_AND_OUTCOME,AUTHORITATIVE,NONE,9902x30. Game-level spine. Contains actual_total outcome variable.
bullpen_features_production,sim/data/bullpen_features.parquet,REF_ONLY (not copied),PRODUCTION_COPY,AUTHORITATIVE,NONE,19804x10. Production bullpen features. Same shape as recovery substrate.
