layer_number,layer_name,classification,pit_status,economic_risk,portable,blocks_deployment,action_required,priority,notes
1,Drift Correction,BROKEN,VIOLATED,CRITICAL,NO,YES,"Recalibrate from scratch after feature fix",P0,"Old drift +0.4458 from MoneyPuck model; rebuild needs ~+0.16; live needs ~+1.34 (feature issue)"
2,Poisson Simulation,PORTABLE,MINOR,LOW,YES,NO,"Re-validate push corrections after drift fix",P2,"Push corrections for 6.0/7.0 lines are directionally correct"
3,Goalie Handling,NATIVE,NONE,NONE,N/A,NO,"Already integrated in Model A",N/A,"6 goalie features are native Model A features"
4,Confidence Tiers,RECALIBRATE,VIOLATED,MEDIUM,CONDITIONAL,YES,"Recalibrate 0.12/0.15 thresholds after drift fix",P1,"Current edges inflated by bias; distribution will change after fix"
5,Stop Rules,PORTABLE,NONE,POSITIVE,YES,NO,"Reset after drift fix; mechanism works correctly",P2,"Correctly shadowed MEDIUM/LOW tiers"
6,Edge Calculation,PORTABLE,NONE,NONE,YES,NO,"No changes needed",N/A,"Standard implied-probability math"
7,Signal Threshold,RECALIBRATE,VIOLATED,MEDIUM,CONDITIONAL,YES,"Re-sweep after drift fix",P1,"THRESHOLD=0.12 from old model Phase 4.5"
8,Grading,PORTABLE,NONE,NONE,YES,NO,"No changes needed",N/A,"Standard W/L/P grading via game_id"
9,OT/SO Diagnostics,PORTABLE,NONE,NONE,YES,NO,"No changes needed",N/A,"Shadow diagnostic only; does not affect grading"
10,Summaries,PORTABLE,NONE,NONE,YES,NO,"Update league avg benchmarks for 2025-26",P3,"_LEAGUE_AVG_GS/GA = 2.95 from 2024-25"
11,CLV Snapshots,INFRASTRUCTURE,NONE,NONE,YES,NO,"No changes needed",N/A,"Morning/pregame line capture"
12,Line Movement,INFRASTRUCTURE,NONE,NONE,YES,NO,"No changes needed",N/A,"Open vs current line tracking"
13,Data Quality Audit,INFRASTRUCTURE,NONE,NONE,YES,NO,"No changes needed",N/A,"Pre-serialization field checks"
14,Season Performance,INFRASTRUCTURE,NONE,NONE,YES,NO,"No changes needed",N/A,"W/L/P/hit/ROI aggregation"
15,Live Features,BROKEN,STRUCTURAL MISMATCH,CRITICAL,NO,YES,"Root cause investigation of feature mismatch",P0,"Live features produce 1.34-goal raw bias vs 0.16 on historical"
