family,source_file,key_columns,pit_proof_method,exclusions_verified,status
Starter Quality,mlb/data/pitcher_game_logs.parquet,"home_sp_er9_r5, home_sp_avg_ip_r5, home_sp_k_rate_r5, home_sp_bb_rate_r5, home_sp_hr_rate_r5, away_sp_* (same)","shift(1) applied before rolling 5-start window (min 2 starts); cold-start gets None/league avg",sim/data/feature_table.parquet excluded; opponent_adjusted_engine_v2 excluded,APPROVED
Starter Depth,mlb/data/pitcher_game_logs.parquet,"home_sp_avg_ip_r5, home_sp_ip_std_r5, home_sp_short_exit_r5, away_sp_* (same)","shift(1) applied before rolling 5-start window (min 2 starts)",sim/data/feature_table.parquet excluded,APPROVED
Bullpen Quality,sim/data/bullpen_features.parquet,"home_bp_rel_last1, home_bp_rel_last3, home_bp_pit_last3, home_bp_hl_avail, away_bp_* (same)","Pre-computed last_game / last_3_games lookback columns — PIT-safe by design; opening-day nulls filled with 0",mlb_sim/data/ feature tables excluded,APPROVED
Bullpen Freshness,mlb/data/pitcher_game_logs.parquet (reliever subset),"team_bullpen_ip_last3, team_bullpen_pitches_last3","Strict date < game_date filter before aggregation at team level",opponent_adjusted_engine_v2 excluded,APPROVED
Offense Quality,mlb/data/hitter_game_logs.parquet,"home_obp_r10, home_slg_r10, home_iso_r10, home_hr_rate_r10, away_* (same)","shift(1) applied before rolling 10-game team aggregates (min 3 games); starter_flag=True and batting_order 1-9 only",sim/data/feature_table.parquet excluded; FanGraphs wRC+ excluded (not PIT-safe as game-level series),APPROVED
Park Effects,sim/data/game_table.parquet,"park_factor_runs, park_factor_hr","Static structural venue properties — not derived from game outcomes; no temporal computation needed",V1 feature table excluded,APPROVED
Weather,sim/data/game_table.parquet,"temperature, wind_speed, wind_direction, roof_status, is_dome_or_closed","Game-day physical measurement — not a statistical aggregate; dome/closed roof zeroes wind and temp effect","Wind direction not signed (no park CF bearing data); this is a documented V1 limitation",APPROVED - with limitation
Market Geometry,sim/data/mlb_historical_closing_lines.parquet + sim/data/market_snapshots.parquet,"market_close_total, market_clv","Closing total is contextual market geometry input — not a predictive feature; flagged as market geometry in all usages","Open total: 0% coverage all seasons — MPS DATA-BLOCKED; noon/5pm lines excluded (too sparse); CLV available 2024-2025 only",APPROVED - closing total only; MPS BLOCKED
Home/Away Asymmetry,"pitcher_game_logs, hitter_game_logs, game_table","home_sp_stability, away_sp_stability, home_bp_stability, away_bp_stability","Derived at game level from approved sources using approved rolling methods",No additional exclusions beyond family-level sources,APPROVED
V1 Feature Table,sim/data/feature_table.parquet,ALL,NOT PIT-SAFE — built by sim/phase2_build_features.py with season-level aggregates joined to game dates,PERMANENTLY FORBIDDEN — PIT contaminated,EXCLUDED
Opponent Adjusted Engine V2,research/opponent_adjusted_engine_v2/pitcher_recent_adjusted_features.parquet,ALL,UNKNOWN lineage — ambiguous creation process,PERMANENTLY FORBIDDEN — ambiguous lineage,EXCLUDED
mlb_sim feature tables,mlb_sim/data/ (all feature table files),ALL,UNKNOWN lineage — ambiguous creation date and process,PERMANENTLY FORBIDDEN — ambiguous lineage,EXCLUDED
