artifact_family,package_path,files_present,data_object_present,documentation_present,manifest_alignment,caveat_alignment,pit_safe_support_level,authoritative_engine_input_status,residual_risk_level,notes
mlb_matchup_table_base,base_object/mlb_matchup_table_base.parquet,YES,YES (19804x107),YES (report+registry+self_audit),ALIGNED,ALIGNED (CAVEAT_03),EXPLICITLY_SUPPORTED,YES_WITH_CAVEAT,LOW,Frozen copy verified: size match 12503400 bytes. Registry matches actual shape/columns/seasons. 0 grain duplicates. 12% null cells (expected for early-season/partial windows). Substitute-in-use naming caveat documented.
mlb_lineup_state_substrate,REF_ONLY at source,YES (at source),YES (19712x54 at source),YES (report+registry+self_audit at source),ALIGNED,NOT_APPLICABLE,EXPLICITLY_SUPPORTED,YES,LOW,Source file present and accessible. PIT support via Stack Acceptance Memo.
mlb_bullpen_substrate,REF_ONLY at source,YES (at source),YES (19804x10 at source),YES (report+registry+self_audit+acceptance memo at source),ALIGNED,ALIGNED (CAVEAT_01),SUPPORTED_WITH_CAVEAT,YES_WITH_CAVEAT,MODERATE,Builder self-audit false re background tasks. Substantive PIT verified independently. Data integrity confirmed but process attestation not trustworthy.
mlb_starter_profile_substrate,REF_ONLY at source,YES (at source),YES (19914x55 at source),YES (report+registry+self_audit at source),ALIGNED,ALIGNED (CAVEAT_02),SUPPORTED_WITH_CAVEAT,YES_WITH_CAVEAT,LOW,Available-only SC averaging caveat. Data quality itself is sound.
mlb_starting_pitcher_substrate,REF_ONLY at source,YES (at source),YES (19914x46 at source),YES (report+registry+self_audit at source),ALIGNED,NOT_APPLICABLE,EXPLICITLY_SUPPORTED,YES,LOW,Per-start realized stats. Partial SC enrichment expected.
mlb_hitter_statcast_substrate,REF_ONLY at source,YES (at source),YES (197497x17 at source),YES (report+registry+self_audit at source),ALIGNED,NOT_APPLICABLE,EXPLICITLY_SUPPORTED,YES,LOW,Feeds lineup_state aggregation. Not used directly in matchup table.
mlb_umpire_substrate,REF_ONLY at source,YES (at source),YES (9902x8 at source),YES (report+registry+self_audit at source),ALIGNED,NOT_APPLICABLE,EXPLICITLY_SUPPORTED,YES,LOW,Game-level umpire data. Clean.
mlb_umpire_historical_layer,REF_ONLY at source,YES (at source),YES (453x10 at source),YES (report+registry+self_audit at source),ALIGNED,NOT_APPLICABLE,EXPLICITLY_SUPPORTED,YES,LOW,Prior-season ratings. Clean.
mlb_umpire_ratings_repair,REF_ONLY at source,YES (at source),NO (docs only),YES (report+registry+self_audit at source),ALIGNED,ALIGNED (CAVEAT_05),DOCUMENTED_BUT_WEAK,YES_WITH_CAVEAT,LOW,Documentation-only. Fix applied to config.py. No independent data artifact to verify repair.
mlb_weather_substrate,REF_ONLY at source,YES (at source),YES (9902x9 at source),YES (report+registry+self_audit at source),ALIGNED,NOT_APPLICABLE,EXPLICITLY_SUPPORTED,YES,LOW,Game-level weather. Clean.
mlb_park_context_substrate,REF_ONLY at source,YES (at source),YES (9902x17 at source),YES (report+registry+self_audit at source),ALIGNED,NOT_APPLICABLE,EXPLICITLY_SUPPORTED,YES,LOW,Game-level park context. Clean.
mlb_team_code_normalization,REF_ONLY at source,YES (at source),YES (JSON map at source),YES (report+registry+self_audit at source),ALIGNED,NOT_APPLICABLE,EXPLICITLY_SUPPORTED,YES,LOW,6-key SC-to-canonical mapping. Applied during matchup table build.
mlb_substrate_stack_acceptance,provenance/MLB_SUBSTRATE_STACK_ACCEPTANCE_MEMO.md,YES,N/A (memo),YES (acceptance memo),ALIGNED,NOT_APPLICABLE,EXPLICITLY_SUPPORTED,YES,LOW,Frozen copy verified: size match 3667 bytes. Master acceptance basis.
game_table_spine,REF_ONLY at source,YES (at source),YES (9902x30 at source),NO (production file),ALIGNED,NOT_APPLICABLE,EXPLICITLY_SUPPORTED,YES,LOW,Production spine. Contains actual_total outcome. No separate report/registry but well-documented in matchup table base report.
bullpen_features_production,REF_ONLY at source,YES (at source),YES (19804x10 at source),NO (production file),ALIGNED,NOT_APPLICABLE,EXPLICITLY_SUPPORTED,YES,LOW,Production bullpen. Same shape as recovery substrate (171348 bytes each).
